text,label,label_id
MONNA O QOSOA KA KOLOI E SE NANG LINOMORO,negative,0
MOOKAMELI O LITLAMONG TSA SEPOLESA KA HO JA MOLISANA MAOTOANA,negative,0
BAOKAMELI BA TSEKA NYATSI,negative,0
SESOLE SE KHOASOLLA LITLOKOTSEBE MATSABENG,positive,2
LEBENKELE LE OELE BASEBETSI BA IKABILE KA STOCK,negative,0
MOSALI O PATA TLHAHO EA LESEA,negative,0
SEHOPOTSO SA MAPOLESA A OELENG MOLENG OA NTOA,positive,2
MONNA O BOETSE O RULELLA BATHO MATLO MAHALA,positive,2
MASHOLU A BOROKHOANENG A HANELOA KA BEILI,negative,0
KOMPONE EA MARANGRANG E LAHLEHELOA KE MATSEBE-TSEBE A MALOTI KA BOKHOSHELI,negative,0
SEPOLESA SE FUMANA THEPA EA BOSHOLU KA HO SALA MONYENYETSI MORAO,positive,2
SEPOLESA SE KOPA HO BATLISOA LESHOLU LA CHELETE EA 'MUSO,negative,0
MARABELE A MAKATSA MASOLE,negative,0
LEREKURUTI LE KHAKHATHUOENG LE HLOKAHETSE,negative,0
MOOKAMELI O KHANNGOE KE LIPOTSO KA KHOTLA,negative,0
O BETA NGOANANA EA LILEMO TSE LESHOME LE METSO E MENE,negative,0
TSA MORAO RAO MORERONG OA TOKISO EA LITSELA,positive,2
UTLOA LITABA TSA MOQHOBI OA LEPHELE EA IPOLAILENG BOSIU BONA BO FETILENG,negative,0
NGOANA O FUMANOA A TIMETSE LEBALENG HABO,negative,0
PHATHI E LOKISA LITSELA MOO E HAPILENG LIKHETHO,positive,2
MOHOEBI O AMOHELA KHAU EA HAE MOSE,positive,2
'MUSO O TLO REKELA MAPOLESA MAKOLOI A MANG HAPE,positive,2
NTATE MATSALE O THETEHELA LIKOBONG TSA NGOETSI,negative,0
MOOKAMELI OA SEPOLESA O ABELA LITEREKE LIKOLOI TSE NCHA,positive,2
LIKHOMO LI FUMANOA POLASING,positive,2
HO QHOMA LEFU LE LENG HAPE,negative,0
SEPOLESA SE TŠOARELA MAHOKELA THUPELO,positive,2
LEBONE LA TSOSOLOTSO LE TLA POTOLOHA LE LITEREKE,positive,2
MONNA O KENA MATJALENG KA HO IKHAPELA THEPA EA MARANG-RANG,negative,0
BOPAKI BO HAROLANG POLAONG EA MOK'HANSELARA,negative,0
PHALA EA 'MUSO E HLAPAOLA NAHA,negative,0
BATHO BA BANGATA BA TLO FELLOA KE MESEBETSI HAPE,negative,0
MOETAPELE O ETELA MALAPA A BAFU BA TIMETSENG KOTSING EA KOLOI,negative,0
KHAREBE E HLALLOA HO RATA LIKOBO,negative,0
'MOLAI OA MOPARAMTE OA MEHLENG O HLALOSA SE ETSAHETSENG HA A TLA MO BOLAEA,negative,0
BATHO BA TLOHELA LIPILISI TSA BOPHELO BOHLE KA LERENG BA RAPELETSOE,negative,0
'MUSO O RERETSOE BOBE,negative,0
HANTLE RONA RE MO ROLELA KHAEBANA,positive,2
BANNA BA HLAHA KHOTLA HAPE KA BOSHOLU BA BOQHOBANE,negative,0
KE HLOLOA HOBA LE BANA,negative,0
MOOKAMELI KE LEMENEMENE LE FETANG JUDAS ISCARIOT OA BIBELENG,negative,0
BASALI BA BOLAEA MOSALI E MONG KA THIPA,negative,0
MOOKAMELI O TŠIRELETSA BABOLAI BA MOITHUTI,negative,0
MONNA O IPOLELA MELATO,negative,0
LITABA TSA MAKHOTLA EKARE KE LITŠOMO,negative,0
MOHOEBI O FANA KA SEFOFANE HO SEPOLESA,positive,2
MOKHATLO O KHUTLISETSA MONNA MOSEBETSING,positive,2
MONNA O FA NGOANA CHEFO EA TERENKI,negative,0
TONAKHOLO O PHELISA SECHABA KA LESHANO,negative,0
NTJA E ROAKA MOETI,negative,0
MOPOROFETA O TLA SETEREKENG,positive,2
MOKHA HA O TLISE PHETOHO HOHANG,negative,0
BARALI BA FENETHA 'MABONA TOROPONG,negative,0
MONNA O KHAMA MOSALI OA HAE HO FIHLELA A NEHELA MOEA,negative,0
BA RE MONNA A NKELOE KHATO KA HO SOTLA NGOANA,negative,0
LETAMO LE NTSE LE TŠOLOHA HOSENG HOA KAJENO BATHO BA KA PALAMA MAKOLOI,positive,2
SETHO SA PHATHI SE ITOMA MOHATLA,negative,0
MONNA O IPOLAEA KA HO IPHANYEHA MOTSENG,negative,0
PHATLALATSO EA SEPOLESA,neutral,1
MASOLE A TSOANG NTOENG A PHOQOA,negative,0
MOOKAMELI O TLO FANA KA BOPAKI BO PHEUOENG KA KHOTLA HOSANE,negative,0
BABELAELLOA BA AHLOLOA LILEMO TSE MASHOME A MARARO,negative,0
BARATANI BA KHAKHATHOA HAMPE,negative,0
BA AHLOLOA LIKHOELI TSE HLANO SAKALEHOLO,negative,0
MONNA O FUMANOA KA LITHETHEFATSI TSE SENG MOLAONG,negative,0
TSA MORAO-RAO KA MOITHUTI EA BOLAILOENG KA CHEFO JOALENG,negative,0
HO TLA SHOA MOTHO KA MONA,negative,0
MONNA O FETOHA MOSALI KAMORA HO TSUNYA-TSUNYANA LE MOHALA OA LETSOHO,negative,0
LEFAHLA LE EILENG LA BOLAOA LE TLA BOLOKOA BOESA LETAMONG LEO A FUMANOENG HO LONA,positive,2
CHELETE E UTSUOENG E EA FUMANOA,positive,2
MONNA O AHLOLOA LILEMO TSE LESHOME KE LEKHOTLA,negative,0
MOHLANKA OA LEKALA O TŠOEROE,negative,0
BAKULI BA EANG SEPETLELE BOSIU BA MATHATENG,negative,0
SEPOLESA SE QETA HO PHUTHA SETOPO SA MOSALI,negative,0
SEPOLESA SE TSOELA PELE KA HO ETELA LIKOLO,positive,2
E MONG OA BANANA BA BOLAUOENG O OA BOLOKOA,negative,0
BANNA BA FUMANOA BA BAPALA PAPALI E SENG MOLAONG,negative,0
MOKHOTHALETSUOA O BETSA KHOBA HAPE,neutral,1
SEBINI KE MOFU,negative,0
MAPARAMENTE A NYAHLATSA TLHAHISO EA HO HLAKOLA M5000,negative,0
KOLOI EA LEPHELE E CHAISITSE BATHO,negative,0
SECHABA SE SEBOKO KA CLINIC,negative,0
LIOFISI TSA LEKALA LI KOETSOE,negative,0
MOCHOCHISI O BOLILE JOALO KA LIRUOA,negative,0
OFISI EA 'MUSI OA SETEREKE E HLAKOLA KETEKO EA TSOALO EA MORENA,negative,0
SECHABA SE MO KHAKHATHELA LEFU,negative,0
TONAKHOLO O LOKELA HO BUSA LILEMO TSE HLANO,positive,2
RAMETLAE O QOSOA KA MANGOLO A LEFOFO,negative,0
LETŠOLO LA HO HLOEKISA NAHA LE TSOELA PELE,positive,2
MOSALI O SA NTSA NYOFA BATHO HAPE,negative,0
MOETAPELE O TSOA KA BAIL,positive,2
MONNA O AHLOLELOA BOPHELO BOHLE CHANKANENG HABELI,negative,0
SETOPO SA MONNA SE INOLOA KA LETAMONG SE TŠETSOE KA HARA POLASETIKE,negative,0
LIPALEMA LI ATLEHISA KHOEBO EA LIKOENA,negative,0
LITSELA LI NTSE LI LOKISOA HO TSOELAPELE,positive,2
BANNA BA TŠOEROE KA BOSHOLU BA MERIANA LE LIPILISI,negative,0
LI HONDA FIT TSA SEPOLESA MOO TONAKHOLO A NTSENG A THAKHOLA KHANTŠO EA MABONE A MACHA,positive,2
MONNA O HLAHA KA PEL'A LEKHOTLA KA POLAO,negative,0
LELAPA LE PATLONG EA MORA LONA,negative,0
